asset.name,collection_slug,total_price,quantity,asset.num_sales,payment_token.usd_price,total_price_usd
ChinaBansICOBitcoinExchanges,cryptocards-collection,0.345,1,67.0,1975.27,681.4681499999999
ChipArt,chipart,0.2089,2,2.0,3950.54,412.633903
Chippy,chippys-world,0.2,2,3.0,3950.54,395.05400000000003
Chubbipig,chubbiverse-frens,0.23,1,3.0,1975.27,454.31210000000004
Chubbiwhal,chubbiverse-frens,0.12,1,1.0,1975.27,237.0324
Chubby,chubbylandnft,0.06,1,2.0,1975.27,118.5162
ChubbyKaiju,chubbykaijudao,0.717,4,9.0,7901.08,1416.26859
ChumChums,chumchumsnft,0.14,2,3.0,3950.54,276.5378
ClayFriend,clayfriends,0.7000000000000001,3,8.0,5925.8099999999995,1382.689
Clines,gen-art-collection,0.025,1,1.0,1975.27,49.381750000000004
CloneX,clonex,77.4,6,19.0,11852.15,152894.643
CoalitionCrew,coalition-crew-2-0,0.4,1,3.0,1975.8,790.32
CocoLuring,cyberbrokers,1.3,1,3.0,1975.27,2567.851
CodeHyperium,codehyperiumgenesis,0.2,1,2.0,1975.27,395.05400000000003
ColdBloodedCreepz,genesis-creepz,1.25,2,8.0,3950.54,2469.0874999999996
CollectorseBookTheQuestfortheDiamondFleece,tbac,0.32189999999999996,2,11142.0,3950.54,635.8394129999999
Colonist,colonists,0.229,3,3.0,5926.34,452.38983
Colonist,shatteredeon-colonist,0.6449999,10,17.0,19752.7,1274.048952473
Combat,gft-atari-50th-anniversary,0.1474,1,3.0,1975.27,291.154798
CommonDeedofLand,thewalkingdeadofficialdeaddeeds,0.2278,1,2.0,1975.27,449.966506
Commsaur,commsaur,0.063,2,4.0,3950.54,124.44201
Companion,nft-the-companion,0.341,3,3.0,5925.8099999999995,673.56707
Companion,shines-companion,0.054,2,2.0,3951.0699999999997,106.68047999999999
Confluence,confluence-by-devi-parikh,0.23,1,1.0,1975.27,454.31210000000004
ConiunPass,coniun-pass,1.1268799999999999,4,11.0,7901.08,2225.8922576
ConstantinoplEth,radicards-v2,0.01,1,1.0,1975.27,19.7527
Coodle,coodles,1.425,5,18.0,9877.41,2815.2553
CoolApe,coolapeclubofficial,0.41000000000000003,3,9.0,5925.8099999999995,809.8607
CoolCat,cool-cats-nft,8.29,1,4.0,1975.27,16374.988299999999
CoolCookie,coolcookies,0.0395,4,6.0,7901.08,78.023165
CoolDog,cooldogsofficial,0.779,5,21.0,9876.88,1538.78833
CoolGhouls,cool-ghouls-nft,0.074,2,2.0,3950.54,146.16997999999998
CoolHighTops,10ktf,0.7,1,3.0,1975.27,1382.6889999999999
CoolKid,coolkidznft,0.015,1,1.0,1975.27,29.62905
CoolKidsWalk,ckw,0.1319,12,21.0,23703.239999999998,260.538113
CoolMonke,coolmonkes,2.7819,6,19.0,11851.619999999999,5495.003613
CoolPet,coolpetsnft,15.098869,8,18.0,15802.16,29824.34296963
Coolbird,cool-birds-official,0.008,1,1.0,1975.27,15.80216
CoolmansUniverse,coolmans-universe,13.489,9,36.0,17777.43,26644.41703
CosmicCats,cosmiccatsofficial,1.7355,13,33.0,25678.51,3428.081085
CosmicCowgirls,cosmiccowgirls-nft,0.114,2,7.0,3950.54,225.18078000000003
CosmicMageVoidothoftheEther,forgottenruneswizardscult,3.0,1,2.0,1975.27,5925.8099999999995
CosmicTrippies,cosmictrippies,0.193,3,5.0,5925.8099999999995,381.22711
CosmicWyverns,cosmic-wyverns-official,0.055,1,2.0,1975.27,108.63985
Cosmiq,cosmiqs-official,0.562,7,13.0,13826.89,1110.10174
Cosmodino,cosmodinos-omega,1.68189999,12,43.0,23703.77,3322.2595932473
CouncilofKingz,council-of-kingz-official,0.149,1,1.0,1975.27,294.31523
CowSkull,the-sandbox-assets,0.0097,1,4.0,1975.27,19.160119
CozyPenguin,cozy-penguin,0.7949999999999999,14,28.0,27653.78,1570.33965
Crab,cryptantcrab,0.04,1,1.0,1975.27,79.0108
CrazyLizardArmy,crazy-lizard-army,0.015,1,2.0,1975.27,29.62905
CrazySkull,crazyskullznft,0.045,1,3.0,1975.27,88.88714999999999
CreepzInvasionPass,creepz-invasion-pass,0.936,5,39760.0,7901.08,1848.85272
CriminalGuildMembership,criminal-guild,0.098,1,926.0,1975.27,193.57646
Critterz,critterznft,1.98,1,4.0,1975.27,3911.0346
Crookz,crookz,0.4469,4,7.0,7901.08,882.748163
CrypToadz,cryptoadz-by-gremplin,2.0197499999999997,1,5.0,1975.8,3990.6220499999995
